id,method,lon,lat,depth,target_depth,poc_flux_obs,ccsm_whoi,cesm_ethz,ecco_darwin,fesom_recom_lr,mpiom_hammoc,mri_esm2_0,nor_esm_oc1.2,nowicki_2022,simple_trim,wang_2023
4343,sediment trap,-64.4,10.3,810,1000,35,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4344,sediment trap,-64.6667,10.5,840,1000,37.3,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4345,sediment trap,-64.4,10.3,810,1000,30,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4346,sediment trap,-64.4,10.3,810,1000,17,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4347,sediment trap,-64.4,10.3,810,1000,8,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4348,sediment trap,-64.4,10.3,810,1000,15,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4349,sediment trap,-64.4,10.3,810,1000,34,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4350,sediment trap,-64.4,10.3,810,1000,43,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4351,sediment trap,-64.4,10.3,810,1000,28,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4352,sediment trap,-64.4,10.3,810,1000,33,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4353,sediment trap,-64.4,10.3,810,1000,3,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4354,sediment trap,-64.4,10.3,810,1000,5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4355,sediment trap,-64.4,10.3,810,1000,4,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4356,sediment trap,-64.4,10.3,810,1000,4,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4357,sediment trap,-64.4,10.3,810,1000,42,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4358,sediment trap,-64.4,10.3,810,1000,64,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4359,sediment trap,-64.4,10.3,810,1000,38,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4360,sediment trap,-64.4,10.3,810,1000,58,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4361,sediment trap,-64.4,10.3,810,1000,77,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4362,sediment trap,-64.4,10.3,810,1000,28,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4363,sediment trap,-64.4,10.3,810,1000,50,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4364,sediment trap,-64.4,10.3,810,1000,51,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4365,sediment trap,-64.4,10.3,810,1000,5,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4366,sediment trap,-64.4,10.3,810,1000,24,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4367,sediment trap,-64.4,10.3,810,1000,8,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4368,sediment trap,-64.4,10.3,810,1000,38,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4369,sediment trap,-64.4,10.3,810,1000,12,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4370,sediment trap,-64.4,10.3,810,1000,71,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4371,sediment trap,-64.4,10.3,810,1000,22,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4372,sediment trap,-64.4,10.3,810,1000,15,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4373,sediment trap,-64.4,10.3,810,1000,17,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4374,sediment trap,-64.4,10.3,810,1000,27,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4375,sediment trap,-64.4,10.3,810,1000,11,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4376,sediment trap,-64.4,10.3,810,1000,11,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4377,sediment trap,-64.4,10.3,810,1000,36,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4378,sediment trap,-64.4,10.3,810,1000,119,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4379,sediment trap,-64.4,10.3,810,1000,57,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4380,sediment trap,-64.4,10.3,810,1000,68,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4381,sediment trap,-64.4,10.3,810,1000,100,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4382,sediment trap,-64.4,10.3,810,1000,204,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4383,sediment trap,-64.4,10.3,810,1000,48,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4384,sediment trap,-64.4,10.3,810,1000,17,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4385,sediment trap,-64.4,10.3,810,1000,1,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4386,sediment trap,-64.4,10.3,810,1000,63,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4387,sediment trap,-64.4,10.3,810,1000,25,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4388,sediment trap,-64.4,10.3,810,1000,39,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4389,sediment trap,-64.4,10.3,810,1000,86,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4390,sediment trap,-64.4,10.3,810,1000,34,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4391,sediment trap,-64.4,10.3,810,1000,39,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4392,sediment trap,-64.4,10.3,810,1000,38,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4393,sediment trap,-64.4,10.3,810,1000,46,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4394,sediment trap,-64.4,10.3,810,1000,45,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4395,sediment trap,-64.4,10.3,810,1000,108,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4396,sediment trap,-64.4,10.3,810,1000,18,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4397,sediment trap,-64.4,10.3,810,1000,9,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4398,sediment trap,-64.4,10.3,810,1000,50,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4399,sediment trap,-64.4,10.3,810,1000,22,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4400,sediment trap,-64.4,10.3,810,1000,59,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4401,sediment trap,-64.4,10.3,810,1000,51,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4402,sediment trap,-64.4,10.3,810,1000,31,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4403,sediment trap,-64.4,10.3,810,1000,61,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4404,sediment trap,-64.4,10.3,810,1000,32,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4405,sediment trap,-64.4,10.3,810,1000,22,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4406,sediment trap,-64.4,10.3,810,1000,67,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4407,sediment trap,-64.4,10.3,810,1000,15,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4408,sediment trap,-64.4,10.3,810,1000,28,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4409,sediment trap,-64.4,10.3,810,1000,10,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
4410,sediment trap,-64.4,10.3,810,1000,17,NA,NA,0,NA,NA,0,NA,9.322865647163253,NA,1.4995836478288047
